#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events
# Data	##################################################
WRtoEEJJ_800_400	/WRToNuEToEEJJ_MW-800_MNu-400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	4.261e+00	1.449e-02	50000	/WRToNuEToEEJJ_MW-800_MNu-400_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_800_400_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	35270
WRtoEEJJ_1000_500	/WRToNuEToEEJJ_MW-1000_MNu-500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.692e+00	5.007e-03	50000	/WRToNuEToEEJJ_MW-1000_MNu-500_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_1000_500_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	37799
WRtoEEJJ_1200_600	/WRToNuEToEEJJ_MW-1200_MNu-600_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	7.637e-01	2.300e-03	46960	/WRToNuEToEEJJ_MW-1200_MNu-600_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_1200_600_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	36901
WRtoEEJJ_1400_700	/WRToNuEToEEJJ_MW-1400_MNu-700_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.784e-01	1.116e-03	50000	/WRToNuEToEEJJ_MW-1400_MNu-700_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_1400_700_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	40525
WRtoEEJJ_1600_800	/WRToNuEToEEJJ_MW-1600_MNu-800_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.025e-01	6.003e-04	49128	/WRToNuEToEEJJ_MW-1600_MNu-800_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_1600_800_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	40564
WRtoEEJJ_1800_1400	/WRToNuEToEEJJ_MW-1800_MNu-900_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.136e-01	3.329e-04	49065	/WRToNuEToEEJJ_MW-1800_MNu-900_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_1800_1400_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	41090
WRtoEEJJ_2000_1000	/WRToNuEToEEJJ_MW-2000_MNu-1000_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.563e-02	1.917e-04	49096	/WRToNuEToEEJJ_MW-2000_MNu-1000_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_2000_1000_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	41771
WRtoEEJJ_2200_1100	/WRToNuEToEEJJ_MW-2200_MNu-1100_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v2/MINIAODSIM	3.924e-02	1.126e-04	49847	/WRToNuEToEEJJ_MW-2200_MNu-1100_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_2200_1100_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	42696
WRtoEEJJ_2400_1200	/WRToNuEToEEJJ_MW-2400_MNu-1200_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.396e-02	6.818e-05	50000	/WRToNuEToEEJJ_MW-2400_MNu-1200_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_2400_1200_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	43104
WRtoEEJJ_2600_1300	/WRToNuEToEEJJ_MW-2600_MNu-1300_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.490e-02	4.192e-05	50000	/WRToNuEToEEJJ_MW-2600_MNu-1300_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_2600_1300_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	43538
WRtoEEJJ_2800_1400	/WRToNuEToEEJJ_MW-2800_MNu-1400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	9.439e-03	2.627e-05	50000	/WRToNuEToEEJJ_MW-2800_MNu-1400_TuneCUETP8M1_13TeV-pythia8/shervin-WRtoEEJJ_2800_1400_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	43836
