channel   DY   data/DY   leadLeptPtCut   subleadLeptPtCut   leadJetPtCut   subleadJetPtCut
EE	DYAMC	0.965957	35	35	40	40
EE	DYPOWHEG	1.63416	35	35	40	40
EE	DYMADHT	1.20765	35	35	40	40
 
MuMu	DYAMC	0.983168	35	35	40	40
MuMu	DYPOWHEG	1.743	35	35	40	40
MuMu	DYMADHT	1.21072	35	35	40	40
 
EE	DYAMC	0.965957	35	35	40	40
EE	DYPOWHEG	1.63416	35	35	40	40
EE	DYMADHT	1.20765	35	35	40	40
 
MuMu	DYAMC	0.983168	35	35	40	40
MuMu	DYPOWHEG	1.743	35	35	40	40
MuMu	DYMADHT	1.21072	35	35	40	40
 
EE	DYAMC	0.938398	35	35	40	40
EE	DYPOWHEG	1.59944	35	35	40	40
EE	DYMADHT	1.17448	35	35	40	40
 
MuMu	DYAMC	0.964348	35	35	40	40
MuMu	DYPOWHEG	1.71119	35	35	40	40
MuMu	DYMADHT	1.18092	35	35	40	40
 
EE	DYAMC	0.957353	35	35	-10	-10
EE	DYPOWHEG	0.94165	35	35	-10	-10
EE	DYMADHT	0.941731	35	35	-10	-10
 
MuMu	DYAMC	1.00926	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	35	35	-10	-10
MuMu	DYMADHT	0.979594	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.66096	0.0170299	35	35	-10	-10
EE	DYPOWHEG	0.00634305	0.000127212	35	35	-10	-10
EE	DYMADHT	0.0063436	0.000127223	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.957353	0.0021977	35	35	-10	-10
EE	DYPOWHEG	0.94165	0.00215296	35	35	-10	-10
EE	DYMADHT	0.941731	0.00215319	35	35	-10	-10
 
MuMu	DYAMC	1.00926	0.00147243	35	35	-10	-10
MuMu	DYPOWHEG	0.986991	0.00143194	35	35	-10	-10
MuMu	DYMADHT	0.979594	0.00141856	35	35	-10	-10
 
EE	DYAMC	0.938398	0.0027799	35	35	40	40
EE	DYPOWHEG	1.59944	0.0469465	35	35	40	40
EE	DYMADHT	1.17448	0.03017	35	35	40	40
 
MuMu	DYAMC	0.964348	0.00213028	35	35	40	40
MuMu	DYPOWHEG	1.71119	0.0427086	35	35	40	40
MuMu	DYMADHT	1.18092	0.0241323	35	35	40	40
 
EE	DYAMC	0.938398	0.0027799	35	35	40	40
EE	DYPOWHEG	1.59944	0.0469465	35	35	40	40
EE	DYMADHT	1.17448	0.03017	35	35	40	40
 
MuMu	DYAMC	0.964348	0.00213028	35	35	40	40
MuMu	DYPOWHEG	1.71119	0.0427086	35	35	40	40
MuMu	DYMADHT	1.18092	0.0241323	35	35	40	40
 
EE	DYAMC	0.957348	0.00127475	35	35	-10	-10
EE	DYPOWHEG	0.941645	0.00521098	35	35	-10	-10
EE	DYMADHT	0.941726	0.00532944	35	35	-10	-10
 
MuMu	DYAMC	1.00925	0.000754254	35	35	-10	-10
MuMu	DYPOWHEG	0.986992	0.00316567	35	35	-10	-10
MuMu	DYMADHT	0.979596	0.0029727	35	35	-10	-10
 
EE	DYAMC	0.957348	0.00127475	35	35	-10	-10
EE	DYPOWHEG	0.941645	0.00521098	35	35	-10	-10
EE	DYMADHT	0.941726	0.00532944	35	35	-10	-10
 
MuMu	DYAMC	1.00925	0.000754254	35	35	-10	-10
MuMu	DYPOWHEG	0.986992	0.00316567	35	35	-10	-10
MuMu	DYMADHT	0.979596	0.0029727	35	35	-10	-10
 
EE	DYAMC	0.938398	0.0027799	35	35	40	40
EE	DYPOWHEG	1.59944	0.0469465	35	35	40	40
EE	DYMADHT	1.17448	0.03017	35	35	40	40
 
MuMu	DYAMC	0.964348	0.00213028	35	35	40	40
MuMu	DYPOWHEG	1.71119	0.0427086	35	35	40	40
MuMu	DYMADHT	1.18092	0.0241323	35	35	40	40
 
